state,w,b
000110000000210000000001000100020001112232211100020001000020000000010000000111000,0,1
000111000000000000020000000100030001112202211100020001000020000000001000000111000,2,0
000011200000010000010020000100020001112232011100020001000020000000010000000111000,2,0
000111000000000100000002010002000100000002310000102001010200000001000100000000020,1,0
002011000000000000010100000100020001100232001100020201000020010000010000000111000,0,1
020001000031000000200000010100000001110101001001000000000000000000010000000000000,2,0
100000000000000021010020000002000100100000200000000000000020003000010200000100120,2,0
000010000000000020001020100102001000110030201100102001022021100000010000001010000,0,1
000111000000000100200000000100020001112232211100020001000020000000010000000111000,0,1
000111000001000000010000020100002001102232211000000021000020000000010000100111000,1,0
000111000001000000010000020100002001102202211000031021000020000000010000100110000,1,0
000011000000000100001120010000000021112000201100020001000023100000202000000110000,2,0
000111000000210000000020000100020001013002011100020100000020000000210200100111000,2,0
000111000000000001000020000100222001112030211100020001000020000000010000000111000,0,2
000011000000000100010022010100020201100000300100110100002000000000000100000001000,0,2
000111000000200100100320000000020001112002211100020001000201000000010000000110000,2,0
100000000000000021010020000002000100100000200000000000000023000000010200000100120,2,0
000011000001000000010100010100020001102032010100200001020000000001000000000011000,0,1
000011000100000000010103010102000100001000001100022100000101000000010000000010000,0,1
000011020001010000000000002000020001001000011000000201002020000000310000000011000,1,0
000111000000010000000020000001220001112032201100020001000200010000010000000111000,2,0
000011000001000100010100010000001001010000000102231000020010010001000000000000000,0,1
000110000001000000010021000000002001102202201000030201010200010001000100000000000,1,0
200111000001000000000000000001020201100232001100020001000002010000000100000111000,0,1
000110300000010000000020000100220001110001011001012001000000010000000100000000002,1,0
000100112210011000001000000001200000000000001003200000010201001000000201001000002,0,1
000000000010000000000002020000100300000002200000101200000000100000100000000010000,2,0
000111000000010200000020000100020001112232011100020001000020000000010000000111000,6,10
000010000000000000001000000001010100103101000001010000000111000001000000000000000,0,1
000111000002000000020000000001030001110202211100020001000020000000010000000111000,0,1
000110000000000001000020000102000100110001001001203011000021000000000100000010000,0,1
100000000000000000111200100000200001000032011002202001102000200000010000000001000,1,0
000010000000000000000000000101001100010100100002200100013200100011000000200111000,2,0
000010000000000000000000000101001100010100100002200100000200100013000000002111000,2,0
000011000000110000000020000100020201112200001100203001000101100000000000000010000,2,0
000011000100000000000200000001002001001300011102200001000100000000001000000010000,0,1
000111000100000200000020010100022001112230001100200100000002000000010000000111000,0,2
000110000001000000000201000000000321101002211100020001000101000000010000000010000,0,2
110111000002000100000002000000220000100232201000001100000000000100000000100110100,1,0
001001000000010000010001010000000301000000001102010000000000000000010000002111200,1,0
020110000000010000000020000100020001001100011000131001000021000100000000000010000,0,2
100111000000000010002000000002000001110232211100020001000020000002010000000111000,0,2
000000100000000000001101310000000001102201001000200100002000000000010000000110000,0,1
000010010000000100000100100001000100000103001001000100100110020000000100000001000,0,2
000010000000000100010102010000200000002200000003000200100200020120000100001000010,2,0
000010000001000000010000110000010001100000000020231001000010000001000100000000000,0,1
000111000000010000000020000100020001112232211120000001000000000000000001000111000,1,1
000011000000010000020100000100020201112230101100020001000020000000010000000111000,2,0
000110000000010000000001000100210000112231011100020001002000000000010000000110000,1,0
100111000000010000012001000000003000102000211102000001000020000000010000100010000,0,1
000111000010010000000020000100022001102203011000020201000200000000001000000011000,1,0
000111000000012000200000000001020001111000010000000000000112201000000301000010100,2,0
000000100010000010101000001000020000000230001000002000100000001010000010001011100,0,1
000010000020000000000032000002000000100002001102020000001002000000000000100010001,1,0
000111000000010000100020001000200000112232211000020001100020000000010000000111000,0,2
000010000001000100010000010000020000000231010000100000000000002001000200000000000,1,0
000011000002000001100002000000210100103000010000202100002000000000010000000110000,1,0
000010010000000100001120000000000021112000000100020200000020310000200001000110200,2,0
000111000100000000000001000102000001110203211000001001002010000100000000000100000,0,1
100011001000012000002020000100020200110230011001201000000020000000010000100010001,2,0
000001000000000000000020000100202000112030011000020200000200000000010000000101000,2,0
000011000000010000000020000100020001112032211100020001000120000000010000000111000,3,0
000110000000010000000001000000101000101031001102202001000020000000010000000110000,0,2
000010000000010000000101000101003000110000211001020100200000000000202000000111000,0,1
000011200000010000000020000001020001110102001100000001000202310000000000000110100,0,2
000010000000010000000001100003000200100000000000101000000002000001000000010010000,0,2
000011000000010000000122000001200100100030011001222001000000000000010000000011000,0,1
001010000000000001100200200100000000000000200100020001001320000012202000000111000,0,2
000000000000200000000010200001131100100001000000000001000100000000010000000010000,0,2
000111000020000100001000000000220001003000201120020001000202000010000000001001000,2,0
000000000001010000001221100001230000012000010002002100001101000000000000000000000,0,2
000111000000010000000020000100020001112232211100020001000020000000010000000111000,332,373
000111000000012000000020000001020001102200011103000201010000020001000100000010000,2,0
000011000000010000000102000001022100000130011001020100000000000000000001000001000,0,1
